time,x,y,z
9.32000000,1.99451581,0.10458635,0.00000000
9.34000000,1.99640850,0.08467644,0.00000000
9.36000000,1.99790264,0.06473267,0.00000000
9.38000000,1.99899763,0.04476300,0.00000000
9.40000000,1.99969304,0.02477543,0.00000000
9.42000000,1.99998859,0.00477794,0.00000000
9.44000000,1.99988415,-0.01522145,0.00000000
9.46000000,1.99937977,-0.03521476,0.00000000
9.48000000,1.99847565,-0.05519398,0.00000000
9.50000000,1.99717216,-0.07515112,0.00000000
9.52000000,1.99546981,-0.09507820,0.00000000
9.54000000,1.99336928,-0.11496726,0.00000000
9.56000000,1.99087142,-0.13481033,0.00000000
9.58000000,1.98797723,-0.15459947,0.00000000
9.60000000,1.98468786,-0.17432678,0.00000000
9.62000000,1.98100462,-0.19398436,0.00000000
9.64000000,1.97692900,-0.21356435,0.00000000
9.66000000,1.97246262,-0.23305892,0.00000000
9.68000000,1.96760726,-0.25246026,0.00000000
9.70000000,1.96236488,-0.27176063,0.00000000
9.72000000,1.95673756,-0.29095229,0.00000000
9.74000000,1.95072756,-0.31002758,0.00000000
9.76000000,1.94433729,-0.32897886,0.00000000
9.78000000,1.93756929,-0.34779855,0.00000000
9.80000000,1.93042627,-0.36647913,0.00000000
9.82000000,1.92291110,-0.38501312,0.00000000
9.84000000,1.91502677,-0.40339311,0.00000000
9.86000000,1.90677645,-0.42161175,0.00000000
9.88000000,1.89816343,-0.43966175,0.00000000
9.90000000,1.88919115,-0.45753589,0.00000000
9.92000000,1.87986321,-0.47522703,0.00000000
9.94000000,1.87018334,-0.49272808,0.00000000
9.96000000,1.86015540,-0.51003204,0.00000000
9.98000000,1.84978342,-0.52713200,0.00000000
10.00000000,1.83907153,-0.54402111,0.00000000
10.02000000,1.82802402,-0.56069262,0.00000000
10.04000000,1.81664532,-0.57713986,0.00000000
10.06000000,1.80493997,-0.59335626,0.00000000
10.08000000,1.79291265,-0.60933532,0.00000000
10.10000000,1.78056818,-0.62507065,0.00000000
10.12000000,1.76791149,-0.64055596,0.00000000
10.14000000,1.75494765,-0.65578506,0.00000000
10.16000000,1.74168184,-0.67075185,0.00000000
10.18000000,1.72811936,-0.68545036,0.00000000
10.20000000,1.71426565,-0.69987469,0.00000000
10.22000000,1.70012624,-0.71401908,0.00000000
10.24000000,1.68570679,-0.72787787,0.00000000
10.26000000,1.67101307,-0.74144552,0.00000000
10.28000000,1.65605095,-0.75471660,0.00000000
10.30000000,1.64082642,-0.76768581,0.00000000
10.32000000,1.62534556,-0.78034795,0.00000000
10.34000000,1.60961458,-0.79269796,0.00000000
10.36000000,1.59363976,-0.80473091,0.00000000
10.38000000,1.57742749,-0.81644197,0.00000000
10.40000000,1.56098426,-0.82782647,0.00000000
10.42000000,1.54431664,-0.83887985,0.00000000
10.44000000,1.52743130,-0.84959768,0.00000000
10.46000000,1.51033500,-0.85997569,0.00000000
10.48000000,1.49303457,-0.87000972,0.00000000
10.50000000,1.47553693,-0.87969576,0.00000000
10.52000000,1.45784908,-0.88902993,0.00000000
10.54000000,1.43997810,-0.89800850,0.00000000
10.56000000,1.42193114,-0.90662788,0.00000000
10.58000000,1.40371540,-0.91488462,0.00000000
10.60000000,1.38533819,-0.92277542,0.00000000
10.62000000,1.36680685,-0.93029712,0.00000000
10.64000000,1.34812879,-0.93744672,0.00000000
10.66000000,1.32931148,-0.94422135,0.00000000
10.68000000,1.31036245,-0.95061830,0.00000000
10.70000000,1.29128928,-0.95663502,0.00000000
10.72000000,1.27209960,-0.96226909,0.00000000
10.74000000,1.25280108,-0.96751827,0.00000000
10.76000000,1.23340145,-0.97238046,0.00000000
10.78000000,1.21390846,-0.97685371,0.00000000
10.80000000,1.19432991,-0.98093623,0.00000000
10.82000000,1.17467363,-0.98462639,0.00000000
10.84000000,1.15494748,-0.98792271,0.00000000
10.86000000,1.13515935,-0.99082387,0.00000000
10.88000000,1.11531716,-0.99332872,0.00000000
10.90000000,1.09542885,-0.99543625,0.00000000
10.92000000,1.07550237,-0.99714562,0.00000000
10.94000000,1.05554569,-0.99845615,0.00000000
10.96000000,1.03556678,-0.99936730,0.00000000
10.98000000,1.01557366,-0.99987872,0.00000000
11.00000000,0.99557430,-0.99999021,0.00000000
11.02000000,0.97557672,-0.99970171,0.00000000
11.04000000,0.95558890,-0.99901334,0.00000000
11.06000000,0.93561885,-0.99792538,0.00000000
11.08000000,0.91567455,-0.99643827,0.00000000
11.10000000,0.89576397,-0.99455259,0.00000000
11.12000000,0.87589509,-0.99226910,0.00000000
11.14000000,0.85607586,-0.98958872,0.00000000
11.16000000,0.83631418,-0.98651252,0.00000000
11.18000000,0.81661798,-0.98304173,0.00000000
11.20000000,0.79699514,-0.97917773,0.00000000
11.22000000,0.77745349,-0.97492207,0.00000000
11.24000000,0.75800085,-0.97027646,0.00000000
11.26000000,0.73864502,-0.96524275,0.00000000
11.28000000,0.71939372,-0.95982296,0.00000000
11.30000000,0.70025466,-0.95401925,0.00000000
11.32000000,0.68123549,-0.94783395,0.00000000
11.34000000,0.66234383,-0.94126952,0.00000000
11.36000000,0.64358722,-0.93432860,0.00000000
11.38000000,0.62497317,-0.92701396,0.00000000
11.40000000,0.60650913,-0.91932853,0.00000000
11.42000000,0.58820248,-0.91127537,0.00000000
11.44000000,0.57006055,-0.90285772,0.00000000
11.46000000,0.55209058,-0.89407894,0.00000000
11.48000000,0.53429978,-0.88494254,0.00000000
11.50000000,0.51669524,-0.87545217,0.00000000
11.52000000,0.49928402,-0.86561164,0.00000000
11.54000000,0.48207308,-0.85542487,0.00000000
11.56000000,0.46506931,-0.84489594,0.00000000
11.58000000,0.44827950,-0.83402907,0.00000000
11.60000000,0.43171037,-0.82282859,0.00000000
11.62000000,0.41536855,-0.81129900,0.00000000
11.64000000,0.39926057,-0.79944490,0.00000000
